id,sight,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10
65,승학산 억새평원,승학산,등산,산,운동,산행,가을,억새,등린이,구덕산,혼산
66,신선대,등산,산,명산,사진,등린이,운동,산악,산행,언덕,풍경
67,아미동 비석마을,비석,문화,사진,피란수도,드로잉,스냅,스케치,야경,역사,아이
68,아미산전망대,아미산,전망대,일몰,카페,노을,사진,감성,풍경,낙동강,등산
69,아홉산 숲,카페,숲,촬영,힐링,산책,가족,나들이,대나무,산책,수목원
70,안데르센극장,동화,아기,육아,숲,공원,아들,아이,주말,나들이,딸
71,"암남공원, 송도해안볼레길",조개구이,케이블카,바다,송도해수욕장,사진,해상케이블카,구름다리,육아,아들,엄마
72,어린이대공원,공원,어린이,카페,육아,에버랜드,롯데월드,사진,아기,아들,나들이
73,연대봉,등산,가덕도,운동,산,산행,명산,등린이,뷰,명소,블랙야크
74,영도다리,카페,흰여울길,영도대교,촬영,디저트,데이트,사진,포차,야경,커피
75,영화의 거리,영화,부산시립미술관,무비,영화의전당,문화,전시회,공연장,이벤트,배우,관람
76,영화의 전당,영화,스케이트보드,롱보드,영화제,시네마,영상,카페,감독,음악회,넷플릭스
77,오랑대공원,공원,산책,사진,바다,강아지,산책로,카페,해안,드라이브,풍경
78,오륙도,카페,스카이워크,데이트,이기대,바다,사진,해파랑길,남파랑길,공원,일광해수욕장
79,용두산공원,공원,용두산,카페,사진,부산타워,국제시장,풍경,야경,데이트,감성
80,운수사,백양산,등산,운동,애진봉,육아,힐링,계곡,숲,꽃,부처님오신날
81,유엔기념공원,공원,유엔,한국전쟁,사진,세계평화,유엔군,추모,참배,명소,현충일
82,을숙도,카페,커피,부산현대미술관,사진,피크닉,생태공원,가을,데이트,산책,핑크뮬리
83,이중섭문화거리(이중섭전망대),전망대,이중섭거리,카페,문화,사진,계단,야경,거리미술관,촬영,풍경
84,일광해수욕장,카페,바다,수제버거,사진,명소,파스타,리조또,치킨,데이트,구디웨키
85,임랑해수욕장,카페,일광해수욕장,바다,뷰,캠핑,데이트,커피메이커,웨스,일광정,사진
86,임시수도기념관,피란수도,역사,사진,박물관,한국전쟁,감성,야행,공원,유네스코,문화재
87,장림포구 (부네치아),포구,사진,카페,촬영,다대포해수욕장,베네치아,감성,데이트,가을,풍경
88,장산,카페,운동,등산,애견,고양이,셀카,마린시티,센텀시티,달맞이,송정
89,장안사,카페,계곡,나들이,가족,드라이브,도토리,가을,힐링,강아지,캠핑
90,전포카페거리,카페,꽃집,커피,디저트,네일,데이트,타투,체험,전리단길,향수
91,조선통신사역사관,조선통신사,역사관,체험,문화,연극,역사,영화,부산진시장,나들이,유네스코
92,죽도공원,공원,송정해수욕장,바다,산책,서핑,사진,토스트,육아,딸,풍경
93,죽성성당,성당,롯데월드,해풍가마솥,사진,드라마드림,카페,바다,세트장,키즈,드라마촬영
94,청사포,카페,앨리스도넛,조개구이,해변열차,블루라인파크,송정해수욕장,해변,바다,스카이캡슐,육아
95,초량1941,초량,카페,우유카페,여성,문화,초량핫플,초량온당,일본가옥,케이크,데이트
96,충렬사,칼국수,문화재,이순신,안락서원,온천천,옥봉산,수제비,콩칼국수,문화재,카페
97,태종대,카페,조개구이,바다,흰여울,칼국수,술집,유람선,냉면,사진,가족
